OBJECT_ID,RA,DEC,1_mag_0,1_mag_err_0,DATE-OBS_1_mag_0
216682444409767936,56.0930008844986,32.200200730444,13.151579,0.013797181,2009-03-19T05:12:51.935
216682513129244928,56.0746213636569,32.2056383926446,13.497292,0.016207172,2009-03-19T05:12:51.935
216682444409768320,56.0887097733683,32.1989791275833,13.839766,0.019021749,2009-03-19T05:12:51.935
216682474473986304,56.06744165478,32.20497515501,17.877051,0.15993288,2009-03-19T05:12:51.935
216682405753907200,56.0756818547245,32.1945601489597,16.030784,0.055120667,2009-03-19T05:12:51.935
216682405753899648,56.0753976523868,32.181513017378,12.901463,0.012284041,2009-03-19T05:12:51.935
216682474473163136,56.0593716635227,32.2012483824221,17.979235,0.17113895,2009-03-19T05:12:51.935
216682474473163648,56.0665521856275,32.2023281515429,17.816033,0.15367395,2009-03-19T05:12:51.935
216682513129356928,56.0681846549848,32.2149375871837,18.611917,0.26674242,2009-03-19T05:12:51.935
216682410048448000,56.0786315893106,32.1926747173167,16.906273,0.088415981,2009-03-19T05:12:51.935
216682646272344832,56.1035359533025,32.2300419092522,17.976539,0.17083099,2009-03-19T05:12:51.935
216682547488981248,56.0886281091019,32.2103493024069,14.740067,0.029123753,2009-03-19T05:12:51.935
216682547488981376,56.0871420567825,32.2103972365522,15.4477,0.041076148,2009-03-19T05:12:51.935
216682547488981504,56.0906671394745,32.2087077175825,14.519776,0.026217604,2009-03-19T05:12:51.935
216682646272526464,56.10587085511,32.2323324064,18.197521,0.19850673,2009-03-19T05:12:51.935
216682646272098944,56.0902076470359,32.2299098305336,17.304236,0.11156484,2009-03-19T05:12:51.935
216682783711185152,56.0427896145333,32.2334541958644,18.152784,0.19248321,2009-03-19T05:12:51.935
216682749351091712,56.0452466905131,32.2167806310701,17.983992,0.1716839,2009-03-19T05:12:51.935
216682684926723072,56.0535109889637,32.2089457967365,19.725458,0.64003554,2009-03-19T05:12:51.935
216682684927129344,56.05123036706,32.20584091541,19.762338,0.65997731,2009-03-19T05:12:51.935
216682719286079104,56.0540708760949,32.2209998984847,15.447547,0.041073026,2009-03-19T05:12:51.935
216682822365284224,56.0758160031397,32.2396049729054,17.275212,0.10963855,2009-03-19T05:12:51.935
216682925445026688,56.070053220863,32.254272459353,19.123547,0.3934611,2009-03-19T05:12:51.935
216682886790733696,56.0659789687174,32.2419837530926,16.366598,0.065723903,2009-03-19T05:12:51.935
216682818071370368,56.0809441158727,32.2361099574789,17.52875,0.12799006,2009-03-19T05:12:51.935
216682852430995584,56.0955803434766,32.244552005018,15.284729,0.037909633,2009-03-19T05:12:51.935
216682886790734080,56.0567095581695,32.2441025822722,16.660204,0.07704796,2009-03-19T05:12:51.935
216685949103101824,55.8836091512309,32.1048204846343,13.644762,0.017362535,2009-03-19T05:12:51.935
216686120901794176,55.8528764931311,32.0980945664079,16.593483,0.074279276,2009-03-19T05:12:51.935
216686223979871872,55.85024797703,32.12225286125,18.929521,0.3385346,2009-03-19T05:12:51.935
216686150965094784,55.8581663442863,32.11374394622,17.075679,0.09745996,2009-03-19T05:12:51.935
216691755897337984,55.8990330718716,32.1109029431367,16.859789,0.086118023,2009-03-19T05:12:51.935
216691854681926656,55.8980147107121,32.1288032130156,17.23008,0.10672499,2009-03-19T05:12:51.935
216691996415827072,55.9181129694246,32.1483541538455,19.388871,0.48587187,2009-03-19T05:12:51.935
216691927697575680,55.9359071236937,32.1382683554439,13.092156,0.013421335,2009-03-19T05:12:51.935
216691992120644480,55.9155459824101,32.147412692121,17.115094,0.099726661,2009-03-19T05:12:51.935
216692099496268288,55.8656256434039,32.1420997939579,14.876195,0.031090424,2009-03-19T05:12:51.935
216692133856006272,55.8814582709056,32.1477425569911,16.88744,0.087475966,2009-03-19T05:12:51.935
216692099494720256,55.8651957047304,32.141120212509,15.177907,0.035981136,2009-03-19T05:12:51.935
216692133854872960,55.87557743934,32.14477990489,17.8617,0.15832887,2009-03-19T05:12:51.935
216692163920047104,55.8954405754974,32.1527631514422,18.094648,0.18498641,2009-03-19T05:12:51.935
216692168214643968,55.90625012777,32.14325083008,17.821211,0.15419313,2009-03-19T05:12:51.935
216692232638818688,55.8960440634541,32.1543236186797,16.942584,0.090263906,2009-03-19T05:12:51.935
216692202574641792,55.90415113277,32.16179801987,19.222492,0.42536957,2009-03-19T05:12:51.935
216692198279082496,55.9059188342963,32.1565722862377,18.664836,0.27735509,2009-03-19T05:12:51.935
216692163919581824,55.9008069903611,32.1472875019111,18.355686,0.22173093,2009-03-19T05:12:51.935
216692370080602368,55.92508884797,32.15590011888,19.388771,0.48583278,2009-03-19T05:12:51.935
216692305654697088,55.9376722849872,32.1466488838713,14.768254,0.029519736,2009-03-19T05:12:51.935
216692301358292096,55.9412117222403,32.1497869831522,17.024124,0.094590945,2009-03-19T05:12:51.935
216692335718274816,55.94852461939,32.15067657441,15.719686,0.04704388,2009-03-19T05:12:51.935
216692546171734272,55.96349264646,32.17920702306,19.547761,0.55280228,2009-03-19T05:12:51.935
216692546171736320,55.9637509089229,32.1984283456555,18.790204,0.30455511,2009-03-19T05:12:51.935
216692477453484032,55.973147603508,32.1714624974932,17.513997,0.1268216,2009-03-19T05:12:51.935
216692473157009408,55.9745075586694,32.1817715741431,18.390609,0.22729544,2009-03-19T05:12:51.935
216692438797259136,55.9541434824533,32.1669151141732,17.445979,0.12160364,2009-03-19T05:12:51.935
216692541876492288,55.9648622602903,32.1900640571844,18.561023,0.25698854,2009-03-19T05:12:51.935
216692511811896960,55.9531275547893,32.1832263418344,18.173335,0.1952221,2009-03-19T05:12:51.935
216692477453384448,55.9772038103116,32.1705466940966,14.743706,0.029174561,2009-03-19T05:12:51.935
216692511813123456,55.9558272629719,32.1777495834894,14.02267,0.020727145,2009-03-19T05:12:51.935
216692610596191744,55.9344102509136,32.1743702872027,17.712343,0.14372046,2009-03-19T05:12:51.935
216692679315449344,55.9174231526447,32.193995897322,17.571242,0.13143145,2009-03-19T05:12:51.935
216692821049201280,55.9402461794931,32.2026777937133,17.472823,0.12363028,2009-03-19T05:12:51.935
216692713675411072,55.9435367227241,32.1849891195646,15.819893,0.049486429,2009-03-19T05:12:51.935
216692816754641920,55.9437694393919,32.2116412891818,18.529326,0.25112881,2009-03-19T05:12:51.935
216692821050765568,55.9445703517998,32.2080865829989,18.356696,0.22188956,2009-03-19T05:12:51.935
216692752331288448,55.9511348898376,32.2069927806555,15.237485,0.037043014,2009-03-19T05:12:51.935
216692992848334208,55.87577381347,32.16688719381,18.330172,0.21776973,2009-03-19T05:12:51.935
216693027209312896,55.89568744356,32.17648931402,17.907337,0.16315688,2009-03-19T05:12:51.935
216693057272562432,55.8612167109963,32.1837592515846,16.514774,0.071166863,2009-03-19T05:12:51.935
216693022912817664,55.8836590356216,32.1759157505718,17.491329,0.12505205,2009-03-19T05:12:51.935
216693091632303232,55.8838950219134,32.1872730947125,17.678156,0.14061575,2009-03-19T05:12:51.935
216693370806584192,55.8482009860699,32.2071867239143,14.835592,0.030489295,2009-03-19T05:12:51.935
216693267727371264,55.8525159697042,32.1859400105833,18.302158,0.21351854,2009-03-19T05:12:51.935
216693332150478464,55.848798174005,32.1950486300282,17.652331,0.13832573,2009-03-19T05:12:51.935
216693332150480640,55.8503958366048,32.1978896191338,16.013148,0.054621918,2009-03-19T05:12:51.935
