_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
056.0764100428486	+31.9634126433802	056.07631817023	0.0746	+31.96332240758	0.0336	216674576029703040	4.2458	0.0828	-18.103	0.138	-20.958	0.083	0	1.0221e+04	5.1619e+00	15.6646	0.0005	2.6613e+03	1.2825e+01	16.7887	0.0052	1.1514e+04	1.8804e+01	14.6089	0.0018	2.1798			3752.39	0.4945	0.2533		
056.1244943104932	+31.9853014161812	056.12451785393	0.3321	+31.98527042910	0.1460	216674743532567296	3.1937	0.3050	4.638	0.725	-7.197	0.386	0	1.2248e+03	2.6177e+00	17.9682	0.0023	9.5778e+01	9.8529e+00	20.3982	0.1117	2.1375e+03	1.5587e+01	16.4372	0.0079	3.9611							
056.1187849733400	+31.9983136755200	056.11878497334	1.5237	+31.99831367552	0.6623	216674816547870464							0	1.0184e+04	3.0551e+01	15.6685	0.0033	1.1965e+03	2.3052e+01	17.6566	0.0209	1.5708e+04	1.3753e+02	14.2716	0.0095	3.3850			3655.30				
056.1308120247353	+32.0036473554265	056.13081928516	1.4737	+32.00360487251	0.6202	216674919625538048	5.0842	1.2997	1.430	2.970	-9.867	1.479	0	1.3557e+02	1.3324e+00	20.3580	0.0107																
056.1306249802657	+32.0040742435841	056.13065050357	1.3903	+32.00404202942	0.5199	216674915331373440	2.8798	1.4453	5.027	2.748	-7.482	1.403	0	2.1039e+02	2.9507e+00	19.8808	0.0152	8.3297e+01	1.9511e+01	20.5498	0.2543	6.4209e+02	3.0446e+01	17.7429	0.0515	2.8069							
056.1217106497975	+32.0210302431377	056.12171642877	1.1076	+32.02101603911	0.4674	216675160145252992	2.4719	1.0413	1.138	2.354	-3.299	1.187	0	2.4854e+02	1.7505e+00	19.6999	0.0076	6.1750e+01	6.3972e+00	20.8748	0.1125	5.5801e+02	6.8836e+00	17.8953	0.0134	2.9795							
056.1346792616100	+32.0265247952100	056.13467926161	2.5759	+32.02652479521	1.2266	216675160144055552							0	1.0227e+02	1.2362e+00	20.6640	0.0131	5.3802e+01	8.1341e+00	21.0244	0.1641	2.3422e+02	8.9448e+00	18.8379	0.0415	2.1865							
056.1019112624100	+32.0287910237500	056.10191126241	4.1217	+32.02879102375	1.7377	216675190209431680							0	7.8242e+01	1.5175e+00	20.9548	0.0211	5.2654e+01	8.8248e+00	21.0478	0.1820	2.0546e+02	1.5810e+01	18.9801	0.0835	2.0677							
056.1205268730929	+32.0420368097110	056.12057481706	1.6646	+32.04199608347	0.7319	216675224568907776	2.2806	1.5442	9.439	3.411	-9.459	1.741	0	1.3548e+02	1.3458e+00	20.3587	0.0108	9.1609e+01	2.3682e+01	20.4465	0.2807	2.8485e+02	6.6355e+00	18.6254	0.0253	1.8211							
056.1241769959996	+32.0151669248891	056.12419231082	0.4299	+32.01513414239	0.1907	216675125785515136	2.0390	0.3952	3.016	0.940	-7.614	0.501	0	9.4222e+02	3.0225e+00	18.2530	0.0035	7.8332e+01	1.0868e+01	20.6165	0.1506	1.8384e+03	1.4735e+01	16.6008	0.0087	4.0157							
056.1255535628700	+32.0217172401800	056.12555356287	2.2118	+32.02171724018	0.8363	216675155849611136							0	1.1712e+02	1.2165e+00	20.5168	0.0113	4.6921e+01	1.2353e+01	21.1730	0.2859	2.8685e+02	8.4830e+00	18.6178	0.0321	2.5552							
