# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Tue Nov  7 20:56:06 CET 2023
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system:  2MASS + Spitzer (IRAC+MIPS)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Jmag    Hmag    Ksmag   [3.6]mag  [4.5]mag  [5.8]mag  [8.0]mag  [24]mag  [70]mag  [160]mag
0.0152 0.01508 6.69897 0.7660601735 2.4062475275    0.766 -0.379  3.6220  4.141    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -5.17e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.717 4.087 3.378 3.249 3.183 3.242 3.206 3.146 2.730 2.858 2.979
0.0152 0.01508 6.69897 0.8000000119 2.4187244405    0.800 -0.347  3.6261  4.145    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -5.41e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.639 4.019 3.317 3.192 3.130 3.191 3.156 3.096 2.682 2.812 2.933
0.0152 0.01508 6.69897 0.8174034357 2.4246620930    0.817 -0.333  3.6280  4.147    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -5.52e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.602 3.987 3.290 3.166 3.106 3.168 3.134 3.074 2.661 2.791 2.913
0.0152 0.01508 6.69897 0.8500000238 2.4350346840    0.850 -0.303  3.6318  4.149    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -5.78e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.528 3.922 3.232 3.112 3.056 3.119 3.086 3.026 2.615 2.747 2.868
0.0152 0.01508 6.69897 0.8612710834 2.4384118625    0.861 -0.293  3.6330  4.150    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -5.87e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.504 3.902 3.214 3.095 3.040 3.104 3.071 3.012 2.600 2.732 2.854
0.0152 0.01508 6.69897 0.9000000358 2.4492786175    0.899 -0.259  3.6374  4.153    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1  -6.2e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.418 3.828 3.149 3.034 2.984 3.047 3.016 2.957 2.547 2.680 2.802
0.0152 0.01508 6.69897 0.9047187567 2.4505296967    0.904 -0.255  3.6379  4.153    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -6.23e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.409 3.820 3.142 3.028 2.978 3.042 3.010 2.952 2.541 2.674 2.797
0.0152 0.01508 6.69897 0.9500000477 2.4618122009    0.950 -0.217  3.6429  4.156    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -6.61e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.313 3.738 3.073 2.963 2.916 2.980 2.950 2.892 2.482 2.616 2.739
0.0152 0.01508 6.69897 1.0000000000 2.4729154477    1.000 -0.173  3.6486  4.158    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -7.12e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.203 3.644 2.996 2.891 2.846 2.908 2.880 2.824 2.414 2.549 2.672
0.0152 0.01508 6.69897 1.0499999523 2.4828114860    1.050 -0.129  3.6544  4.157    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -7.16e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.091 3.548 2.921 2.819 2.775 2.836 2.809 2.755 2.344 2.479 2.604
0.0152 0.01508 6.69897 1.1000000238 2.4916801480    1.099 -0.085  3.6604  4.157    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -7.14e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.982 3.456 2.849 2.750 2.708 2.766 2.741 2.688 2.278 2.413 2.538
0.0152 0.01508 6.69897 1.1423280239 2.4984943377    1.142 -0.048  3.6655  4.157    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -7.08e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.889 3.378 2.789 2.693 2.652 2.708 2.684 2.633 2.222 2.358 2.484
0.0152 0.01508 6.69897 1.1499999762 2.4996678137    1.149 -0.041  3.6664  4.157    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -7.08e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.872 3.364 2.777 2.682 2.641 2.697 2.673 2.623 2.212 2.348 2.473
0.0152 0.01508 6.69897 1.1891906261 2.5053916146    1.189 -0.006  3.6712  4.156    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -7e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.786 3.292 2.721 2.629 2.589 2.643 2.620 2.572 2.160 2.297 2.423
0.0152 0.01508 6.69897 1.2000000477 2.5068948796    1.200  0.003  3.6725  4.156    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -6.99e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.761 3.271 2.706 2.614 2.574 2.628 2.605 2.557 2.146 2.283 2.409
0.0152 0.01508 6.69897 1.2412716150 2.5123586151    1.241  0.035  3.6772  4.157    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -6.76e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.682 3.207 2.657 2.568 2.529 2.580 2.559 2.512 2.101 2.238 2.364
0.0152 0.01508 6.69897 1.2500000000 2.5134610955    1.250  0.044  3.6783  4.157    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -6.75e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.661 3.189 2.643 2.555 2.516 2.567 2.546 2.500 2.088 2.225 2.351
0.0152 0.01508 6.69897 1.2999999523 2.5194498592    1.300  0.095  3.6850  4.149    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -6.68e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.532 3.081 2.557 2.472 2.434 2.483 2.464 2.419 2.009 2.146 2.273
